text,label
the new car was damaged before the purchase,manufacture defective
"I contacted to the gem suzuki dealer (Mr. Kumar yadav), he also behaved rudely like i am an enemy for him, what kind of words these people are using.",service center issue
"Even they are not doing this repairment for free, i have to pay them and they are disrespecting me.",other
"I want my bike to be serviced properly, as i purchased it to run smoothly, if any fault will come after service and repairment then service center and dealer are solely responsible for it.",service center issue
"I would like to discuss this issue with the suzuki two wheeler manufacturer, this is how you like to sell your bike in market, if customer needs some service then you behave with them in this manner.",manufacture defective
Just you would love to sell your bike and after that no responsibility?,other
I would suggest to people to not to buy suzuki vehicles as they will treat you like beggar after you paid them for their vehicle.,other
"Dear team,   My name is manish gupta s/o mr. Ram niwas gupta, i have purchase the maruti suzuki make ciaz (Model-alpha  fuel type-diesel, rj45-cg9403) from kp nexa (One of the authorised distributor of maruti suzuki india) on 31st may 2019 via corporate discount (Tata group).",other
Which is the second car from maruti india.,other
My first car was maruti suzuki - rj14 cy47039 which was purchased in 9th march 2015 which was run 98000 km and i was replaced the tyre on 79000 runs first time.,other
So i think i know the driving.,other
"I am regular and premium customer of maruti india who purchase the two personal car from maruti india last  Early morning of 9th august 2019, when i was going to office, i saw some bubbles on my tyre.",defective part of vehicle
"When i checked deeply, found that almost 4-5 bubbles on the tyre and air pressure was ok. No puncture was there.",defective part of vehicle
When i go to local puncture shop to check the puncture.,other
"He told me that your tyres are new, so please go to car manufacturing company because these tyre are seems damage.",defective part of vehicle
"Same time i was go to madhusudan agra - nexa service centre, and met with mr. Akash bhatt-quality manager.",other
"He inspect the car, (Car was run only 3100 km) he told me that please raise the concern and raise the complaint to goodyear tyre.",other
He provide time to goodyear complaint no and senior managers contact no if in case required.,other
On same day i have raise the complaints in good year tyre for occurring issue in tyre.,other
Same day complaint was logged but complaint no was not provided to us.,other
When we raise the complaint for the new car vehicle ,manufacture defective
Goodyear provide the tyre in evening.,other
Complaint no - q[protected].,other
"On next two days, on 12th august, goodyear engineer came, he inspect the tyre (As per nexa team) and reject the claim and said that tyre was run on low air pressure.",other
When i asked to him how to say that tyre was run on low pressure.,other
"He said that he checked and inspect the tyre and as per his experience, tyre was run on low pressure.",defective part of vehicle
I request to him to check but he denied and reject the claim.,other
And told him that car was never run on low pressure how you decide the car runs on low pressure.,other
It�s totally manufacturing defect.,manufacture defective
"Then i told to mr. Akash to do the something because i have purchase the car two month before, how its done when air pressure was ok.",other
This is manufacturing issue which need to be replaced.,manufacture defective
"He denied for replace the tyre free of cost and told me, on behalf of maruti good will we provide the new tyre but we will charges the 25% tyre cost.",other
"Then i told to him, why you will charges, and where this policy.",other
He told me that he has rights and got instructions from senior to provide the same.,other
"I was no option that time, because some festival are coming in next coming days (15th august raksha bandhan,) so i have to go to jaipur (My home).",other
So i have paid  25% cost of tyre.,other
As per him tyre cost is inr 7200 which is too high.in good year tyre shoppe its cost around inr[protected].,other
That time i was no option because i have to go to jaipur so i have paid for the same.,other
But i was informed to kp nexa jaipur team about the same.,other
"Again on 26th august, again same issue was occur in one of the front tyre (Right side).",other
"Madhusudan nexa agra (Job card no - jc19003023, km-6926) for the issue.",other
Again he told me that you have to raise the complaint for the same.,other
This is happen within 15 days.,other
When i ask to him why i am raise the complaint to good year again when in was purchase the complete product from maruti suzuki india.,other
Its time to moral responsibility to raise the complaint by maruti india and take it seriously  He told me that it is the process that customer has to raise the complaints.,other
This time i told to him to take action because its not happen that i will run the car on again and again low air pressure.,defective part of vehicle
Its totally manufacturing and quality issue.,multiple issue
But not getting proper response from his side.,other
Again i have raise the complaint for this issue (Complaint no - is q[protected]).,other
"On next days i have received the call from good year tyre engineer, he told me that please come to nearest good year tyre dealer which is at pratappura, mg road agra.",other
"When i visited the shop, he told me that please open the tyre, when i told to him why i open the tyre, he told me that his distributor his denied to open the tyre, now you will open the tyre from somewhere else.",other
When i told to him its not my part to open the tyre.,other
You will open it and inspect it.,other
He will told me that then wait.,other
"Almost 1 hour gone, then again i told to him that what is the update, he told me that if you open the tyre then i will inspect the tyre.",other
I have open the tyre nearby the tyre shopper and paid to him rs 100 for opening the tyre.,other
After the inspection again he rejected the claim.,other
And again he told me that tyre was run on low pressure.,defective part of vehicle
How you ca say that i was run the tyre on low pressure.,other
He told me that he is telling about his experience.,other
He not provided the service report till now.,other
Same time i have called to kp nexa jaipur - mr. Praveen (Asst.,other
General manager kp nexa vaishali nagar) where i purchase the car and tell me about the entire issue which was already discussed with mr. Sachin (His team member  who was the purchase advisor of car when i purchase the car).,other
And requested to change the all tyre and replace the car and do the needful for the same.,other
And he assured to me that he will do the same (Replace the tyres).,other
"He suggested to me that you will go to service centre and talk to mr. Akash bhatt and take it on conference call with mr. Anuj, he will talk to mr. Akash once i will there.",other
"On 30th august i was gone to again madhusudan nexa-agra, for the same.",other
And they talk internally (Mr. Anuj (Service head - nexa jaipur) and mr. Akash bhatt (Quality manager - agra).,other
After the discussion they told me that they will do complete inspection of all tyres.,other
And then they call to again same goodyear service engineer to inspect the tyre.,other
Still i have not getting the service report from good year tyre which inspection was don on 27th august.,other
(Its policy that they will provide the service report on same time)  Now i am very mentally disturb how i get the resolutions.,other
I have spent approx.,other
14 lakh rupees 2 month before to purchase one the best product of maruti suzuki india and one of the best sedan car of maruti suzuki india.,other
"And now i am facing this kind of issue   Because now i have no guarantee on tyres, if tyre was damage during the running condition and i will dead or got any disability who is the responsible because from my view and experience of last two month, tyres have quality issue and manufacturing issue,.",multiple issue
"If you do the again inspection from your good year engineer, he will again tell him that car owner runs the car on low air pressure.",defective part of vehicle
"If we talk about that his experience in tyre industry  mr. Amit (Good year engineer) - who has joined the good year tyre 7-8 month ago, then where his experience which was told me every time during the inspection.",other
He is mechanical engineer and his total experience in tyre industry is 6-7 months only (If we count the training period also) If something happen with me during the car running (If tyre damage) who is the responsible of me and my family.,other
"If sometime later engine and steering got defective then who raise the complaint - by customer or by suzuki engineer team,  And where raise the complaint  in maruti suzuki india or fuel manufacturing company  As per the him, always customer raise the complaint of each and every parts if engine damage then raise to complaint to  manufacturing company instead of maruti india, if ac failure then raise to complaint to ac manufacturing complaint instead of maruti by customer.",multiple issue
Then why maruti india sales the car to customer in one product and charge the too much money.,other
I think they will sales the products in parts and told to customer that you can assemble the same and whenever you have complaint then you have to raise the complaint to concern or manufacturing company where you got the parts.,other
Now i dont want to ciaz car which is the best premium card of maruti and one of the worst / defective car of maruti from my view.,defective part of vehicle
So please return the card and refund the total amount of money to me.,other
Because i am mentally disturb due to the this car.,other
Because i have never trust on this car if something misshapen with this car next coming days.,other
We are the tata employee and never expect the type of quality and service issue from maruti suzuki india.,other
"Regards,  Manish gupta +91-[protected] ",other
"Dear team,   My name is manish gupta s/o mr. Ram niwas gupta, i have purchase the maruti suzuki make ciaz (Model-alpha  fuel type-diesel, rj45-cg9403) from kp nexa (One of the authorised distributor of maruti suzuki india) on 31st may 2019 via corporate discount (Tata group).",other
Which is the second car from maruti india.,other
My first car was maruti suzuki - rj14 cy47039 which was purchased in 9th march 2015 which was run 98000 km and i was replaced the tyre on 79000 runs first time.,other
So i think i know the driving.,other
"I am regular and premium customer of maruti india who purchase the two personal car from maruti india last  Early morning of 9th august 2019, when i was going to office, i saw some bubbles on my tyre.",other
"When i checked deeply, found that almost 4-5 bubbles on the tyre and air pressure was ok. No puncture was there.",defective part of vehicle
When i go to local puncture shop to check the puncture.,other
"He told me that your tyres are new, so please go to car manufacturing company because these tyre are seems damage.",other
"Same time i was go to madhusudan agra - nexa service centre, and met with mr. Akash bhatt-quality manager.",other
"He inspect the car, (Car was run only 3100 km) he told me that please raise the concern and raise the complaint to goodyear tyre.",other
He provide time to goodyear complaint no and senior managers contact no if in case required.,other
On same day i have raise the complaints in good year tyre for occurring issue in tyre.,other
Same day complaint was logged but complaint no was not provided to us.,other
When we raise the complaint for the same.,other
Goodyear provide the tyre in evening.,other
Complaint no - q[protected].,other
"9th august rear tyre condition On next two days, on 12th august, goodyear engineer came, he inspect the tyre (As per nexa team) and reject the claim and said that tyre was run on low air pressure.",defective part of vehicle
When i asked to him how to say that tyre was run on low pressure.,other
"He said that he checked and inspect the tyre and as per his experience, tyre was run on low pressure.",defective part of vehicle
I request to him to check but he denied and reject the claim.,other
And told him that car was never run on low pressure how you decide the car runs on low pressure.,other
Its totally manufacturing defect.,manufacture defective
"Then i told to mr. Akash to do the something because i have purchase the car two month before, how its done when air pressure was ok.",other
This is manufacturing issue which need to be replaced.,manufacture defective
"He denied for replace the tyre free of cost and told me, on behalf of maruti good will we provide the new tyre but we will charges the 25% tyre cost.",other
"Then i told to him, why you will charges, and where this policy.",other
He told me that he has rights and got instructions from senior to provide the same.,other
"I was no option that time, because some festival are coming in next coming days (15th august raksha bandhan,) so i have to go to jaipur (My home).",other
So i have paid  25% cost of tyre.,other
As per him tyre cost is inr 7200 which is too high.in good year tyre shoppe its cost around inr[protected].,other
That time i was no option because i have to go to jaipur so i have paid for the same.,other
But i was informed to kp nexa jaipur team about the same.,other
"Again on 26th august, again same issue was occur in one of the front tyre (Right side).",defective part of vehicle
"Madhusudan nexa agra (Job card no - jc19003023, km-6926) for the issue.",other
Again he told me that you have to raise the complaint for the same.,other
This is happen within 15 days.,other
26th august 2019- tyre issue  When i ask to him why i am raise the complaint to good year again when in was purchase the complete product from maruti suzuki india.,other
Its time to moral responsibility to raise the complaint by maruti india and take it seriously   He told me that it is the process that customer has to raise the complaints.,other
This time i told to him to take action because its not happen that i will run the car on again and again low air pressure.,other
Its totally manufacturing and quality issue.,multiple issue
But not getting proper response from his side.,other
Again i have raise the complaint for this issue (Complaint no - is q[protected]).,other
"On next days i have received the call from good year tyre engineer, he told me that please come to nearest good year tyre dealer which is at pratappura, mg road agra.",other
"When i visited the shop, he told me that please open the tyre, when i told to him why i open the tyre, he told me that his distributor his denied to open the tyre, now you will open the tyre from somewhere else.",other
When i told to him its not my part to open the tyre.,other
You will open it and inspect it.,other
He will told me that then wait.,other
"Almost 1 hour gone, then again i told to him that what is the update, he told me that if you open the tyre then i will inspect the tyre.",other
I have open the tyre nearby the tyre shopper and paid to him rs 100 for opening the tyre.,other
After the inspection again he rejected the claim.,other
And again he told me that tyre was run on low pressure.,defective part of vehicle
How you ca say that i was run the tyre on low pressure.,other
He told me that he is telling about his experience.,other
He not provided the service report till now.,other
Same time i have called to kp nexa jaipur - mr. Praveen (Asst.,other
General manager kp nexa vaishali nagar) where i purchase the car and tell me about the entire issue which was already discussed with mr. Sachin (His team member  who was the purchase advisor of car when i purchase the car).,other
And requested to change the all tyre and replace the car and do the needful for the same.,other
And he assured to me that he will do the same (Replace the tyres).,other
"He suggested to me that you will go to service centre and talk to mr. Akash bhatt and take it on conference call with mr. Anuj, he will talk to mr. Akash once i will there.",other
"On 30th august i was gone to again madhusudan nexa-agra, for the same.",other
And they talk internally (Mr. Anuj (Service head - nexa jaipur) and mr. Akash bhatt (Quality manager - agra).,other
After the discussion they told me that they will do complete inspection of all tyres.,other
And then they call to again same goodyear service engineer to inspect the tyre.,other
Still i have not getting the service report from good year tyre which inspection was don on 27th august.,other
(Its policy that they will provide the service report on same time)  Now i am very mentally disturb how i get the resolutions.,other
I have spent approx.,other
14 lakh rupees 2 month before to purchase one the best product of maruti suzuki india and one of the best sedan car of maruti suzuki india.,other
"And now i am facing this kind of issue  Because now i have no guarantee on tyres, if tyre was damage during the running condition and i will dead or got any disability who is the responsible because from my view and experience of last two month, tyres have quality issue and manufacturing issue,.",multiple issue
"If you do the again inspection from your good year engineer, he will again tell him that car owner runs the car on low air pressure.",defective part of vehicle
"If we talk about that his experience in tyre industry  mr. Amit (Good year engineer) - who has joined the good year tyre 7-8 month ago, then where his experience which was told me every time during the inspection.",other
He is mechanical engineer and his total experience in tyre industry is 6-7 months only (If we count the training period also) If something happen with me during the car running (If tyre damage) who is the responsible of me and my family.,other
"If sometime later engine and steering got defective then who raise the complaint - by customer or by suzuki engineer team,  And where raise the complaint  in maruti suzuki india or fuel manufacturing company  As per the him, always customer raise the complaint of each and every parts if engine damage then raise to complaint to  manufacturing company instead of maruti india, if ac failure then raise to complaint to ac manufacturing complaint instead of maruti by customer.",multiple issue
Then why maruti india sales the car to customer in one product and charge the too much money.,other
I think they will sales the products in parts and told to customer that you can assemble the same and whenever you have complaint then you have to raise the complaint to concern or manufacturing company where you got the parts.,manufacture defective
Now i dont want to ciaz car which is the best premium card of maruti and one of the worst / defective car of maruti from my view.,manufacture defective
We never expect the type of quality and service issue from maruti suzuki india.,service center issue
Kindly solve the issue by replacing it since twice my car was taken to the service centre and they asked me to wait and observe but yet the issue is there i have sent the manager of shivam autozone service centre charkope the images kindly replace both the head lamps and fog lamps to avoid this in future.,service center issue
Till now my vehicle registration issue not yet completed.,issue not resolved
Even i did not get any proper response from center also.,service center issue
As per i am doing paid service in feb 2019 at katariya showroom daman and i have paid 6500 something for service but tilled date i am not satisfying for this.,service center issue
"So i m also visited showroom for my issue but they cant reply me propper so, pleased try to solve my issue as soon as possible.",issue not resolved
"I used the car for few years and now when i wanted to sell the car, hence i visited cars 24 and got a good deal and about to sigh the contract and i get to know that there are 2 pending cases issue  (Ipc 337 & ipc 279) against the car registered in july 2014 before the car was sold to me.",issue not resolved
The service center head gave me a increased bill of rs.12250 which is includes all parts of engine.,service center issue
The engine emission indicator light was 'on' even the engine is off,defective part of vehicle
"Next day their mechanic have checked with computer based system and conveyed to me that fuel pump need be changed.in their opinion, it was giving problem due to use of adulterated diesel.",defective part of vehicle
Car does not stopped but it gives sudden jerk before the flashing of indicator light.,defective part of vehicle
Light goes off it car was kept idle for whole night and recur next in 2-3 days while driving.,defective part of vehicle
"Maruti suzuki should be directly responsible for the defects and problems in the engine, silencer and meter board",multiple issue
A week before the battery start stopped working and after a day vehicle stopped working even with kick start.,manufacture defective
Again the battery start and kick start not working.,multiple issue
Within 10 days of driving (Not even crossing 230 km) the engine started making lot of noise along with the syop of speed meter,multiple issue
He was not in a mood to listern nor repair the vehicle and kept of saying to get the vehicle to service station for major repairs and they are going to give the same vehicle to me.,service center issue
I had purchased my car in 2016 and after the some time i had faced problem with my car i had visited many times in maruti service center at chandigarh but problem is not solved till the date..,issue not resolved
When i come to delivery of my car and paid car amount of rs.5 lakh on 09/09/2019 they have asked to me music system is not repaired and it will take 2 days more.,service center issue
But till date the music system is not repaired and they asked me further 2 days after giving 10 days from delivery of the car.,service center issue
"A hole is formed underneath of door handle, rear right side door due to rust.",defective part of vehicle
Water is entering inside the door panels/ frames through this hole while vehicle get washed/cleaned from the service stations/self.,defective part of vehicle
"The second complaint is (Which made us so upset) that, the interior sheets fixed inside on top and door sides/hand rest areas are started coming out.",manufacture defective
All the rubber bidding's and steel frames fixed on the body side are also coming our/loose shunted.,manufacture defective
"Front bumper, right headlight and driver side door was damaged.",defective part of vehicle
But while repairing the workshop authorities only repair front bumper and headlight and refused to repair driver side door.,service center issue
Noise from brakes - brakes pads replaced.,manufacture defective
Vibration & abnormal noise from steering rack - steering rack replaced.,manufacture defective
Front driver seat abnormal noise - seat frame changed.,manufacture defective
4.co - passanger seat abnormal noise - pending for correction 5.,manufacture defective
Lh side seat belt twist or wrong assembly - pending for correction.,manufacture defective
Noise from brakes - brakes pads replaced.,manufacture defective
Vibration & abnormal noise from steering rack - steering rack replaced.,manufacture defective
Front driver seat abnormal noise - seat frame changed.,manufacture defective
4.co - passanger seat abnormal noise - pending for correction 5.,manufacture defective
Lh side seat belt twist or wrong assembly - pending for correction.,manufacture defective
Noise from brakes - brakes pads replaced.,manufacture defective
Vibration & abnormal noise from steering rack - steering rack replaced.,manufacture defective
Front driver seat abnormal noise - seat frame changed.,manufacture defective
4.co - passanger seat abnormal noise - pending for correction 5.,manufacture defective
Lh side seat belt twist or wrong assembly - pending for correction.,manufacture defective
Noise from brakes - brakes pads replaced.,manufacture defective
Vibration & abnormal noise from steering rack - steering rack replaced.,manufacture defective
Front driver seat abnormal noise - seat frame changed.,manufacture defective
4.co - passanger seat abnormal noise - pending for correction 5.,manufacture defective
Lh side seat belt twist or wrong assembly - pending for correction.,manufacture defective
"Because from last 15 days, my vehicle is in the showroom for the same purpose and i am very frustrated because of the issue.",issue not resolved
The wheel drums getting rust (Very worst)  2.,manufacture defective
Inside the vehicle under the seat the frames are getting rust (Very worst condition)  3.,manufacture defective
Washing and interior cleaning not done properly by the dealer (After service)  Herewith i have attached the photographs for your kind reference.,service center issue
The wheel drums getting rust (Very worst)  2.,manufacture defective
Inside the vehicle under the seat the frames are getting rust (Very worst condition)  3.,manufacture defective
Washing and interior cleaning not done properly by the dealer (After service)  Herewith i have attached the photographs for your kind reference.,service center issue
The wheel drums getting rust (Very worst)  2.,manufacture defective
Inside the vehicle under the seat the frames are getting rust (Very worst condition)  3.,manufacture defective
Washing and interior cleaning not done properly by the dealer (After service)  Herewith i have attached the photographs for your kind reference.,service center issue
The wheel drums getting rust (Very worst)  2.,manufacture defective
Inside the vehicle under the seat the frames are getting rust (Very worst condition)  3.,manufacture defective
Washing and interior cleaning not done properly by the dealer (After service)  Herewith i have attached the photographs for your kind reference.,service center issue
But after riding 165 km suffering from self start problem.,manufacture defective
Self start is not working.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
I would like to bring it to your notice that i received inadequate and unsatisfactory service from your service center.,service center issue
"I've repeatedly informed your service manager regarding the issues with gear, break and clutch but every time i face same issues again and again.",issue not resolved
Also i see rust in doors and chases my 18 months old car.,manufacture defective
During the last service in sept 2019 they told me that entire steering column need be replaced which costs around rs.20000.,defective part of vehicle
Im deeply disappointed by the managers of maruti suzuki india who had simply rejected my claim summarily without inquiring.,service center issue
Within 4 months i have visited the service center 5 times.,issue not resolved
The car started making loud noise when it ran in 170 km.,manufacture defective
They want to change the entire gear box at my cost.,manufacture defective
The service center misused my car i gave them with run unit meter of 38200 km noted by their workshop manager and on the day of delivery they are giving it with run unit of 39100 km which is 900 km exceeded.,service center issue
"I later found that there is a clear mark of different colour near the petrol tank area of the car the change of colour suggests that car could have been damaged in that portion, later fixed and repainted.",manufacture defective
My problem has not been resolved yet.,issue not resolved
"The findings clearly show that car has undergone tinkering after possible damage, dent.",defective part of vehicle
Further it was found out that there was uneven gap in circumference in tailgate trunk lids.,defective part of vehicle
I'm not satisfied with the service given by tanu motors and i have being given defective brake pads on 30000 kms and the have been wore out at 54000 kms again.,defective part of vehicle
The service center is backing out and honestly not satisfied with the service and staff either compared to kataria.,service center issue
From the beginning the car steering sticks to one direction.,defective part of vehicle
"For example when I turn steering to 10 degree right hand side, it stays in the same position and dont come back to the same position by itself and the car keeps going in the right until I manually change steering wheel position.",manufacture defective
I checked with service centre and they denied to accept this issue and suggested me to give for service to adjust plunge.,service center issue
From the beginning the car steering sticks to one direction.,defective part of vehicle
"For example when I turn steering to 10 degree right hand side, it stays in the same position and dont come back to the same position by itself and the car keeps going in the right until I manually change steering wheel position.",manufacture defective
I checked with service centre and they denied to accept this issue and suggested me to give for service to adjust plunge.,service center issue
Itself troubling for droping oil from engine and the wheel is slightly left ,multiple issue
Till now i am not get any response from dealer and the company i am very irrited to your service.,service center issue
"Ac is working in my new baleno car, i buy it 6 months back and only 2500 km runs.in 6 months i raised ac issue 5 times and 3 times visited at service center for ac issue but still have the same issue with ac not working.",issue not resolved
In months car the same issue repeated 5 times then what is the benefit for me to buy a new car from maruti nexa.,issue not resolved
Problem of tightened steering in my vitara brezza bearing no.,manufacture defective
"That, now since from 6 to 8 months, there is severe problem of steering and the steering getting tight day by day.",defective part of vehicle
Now they are saying that the steering component is not available and advised to wait.,service center issue
After service i received the vehicle with a body scratch.,service center issue
After service i received the vehicle with a body scratch.,service center issue
After service i received the vehicle with a body scratch.,service center issue
After service i received the vehicle with a body scratch.,service center issue
After service i received the vehicle with a body scratch.,service center issue
After service i received the vehicle with a body scratch.,service center issue
It's already past 40days but still car was not delivered.,service center issue
Now rain water is entering into the car and the mat is getting effected.,defective part of vehicle
"During my earlier visit for some other work, i had to face the same issue.",issue not resolved
After a few days i noticed dark white spots on the black parts and the window panes.,manufacture defective
When i went to get my vehicle the next day they said we have tried our best but the spots wouldn't go.,service center issue
They rubbed the vehicle and have spoiled the original paint also.,service center issue
"I purchased a brand new maruti brezza car {white} on[protected] from hira automobiles, patiala.",manufacture defective
When i went to get my vehicle the next day they said we have tried our best but the spots wouldn't go.,service center issue
They rubbed the vehicle and have spoiled the original paint also.,service center issue
The best thing was it is 2 year old car and the so called airbags didn't open up.,manufacture defective
Moreover the center has given 2 to 3 months time to repaired the vehicle.,service center issue
The best thing was it is 2 year old car and the so called airbags didn't open up.,manufacture defective
Moreover the center has given 2 to 3 months time to repaired the vehicle.,service center issue
The best thing was it is 2 year old car and the so called airbags didn't open up.,manufacture defective
Moreover the workshop has given 2 to 3 months time to repaired the vehicle.,service center issue
By mistake there are printed as maruti wagon r vx.,service center issue
We noticed a few defects when we went to take the delivery of the car.,manufacture defective
"The major ones were significant lagging during the gearshift, huge gaps in dashboard joints and the floor mat was unevenly sitting on the floor.",manufacture defective
Now they are saying that they are manufacturing defects and the dealer has no role in it.,manufacture defective
When i went to take my delivery my vehicles was not ready.,service center issue
"Later i waited for more than an hour still i dint get my bike., then i went inside service and surprised to see sales person are doing fitting accessories to my bike urgently.",service center issue
"We made multiple visits to the workshop, but the problems never ended.",issue not resolved
"Following are the issues with the vehicle Juddering of the body:  	while driving through roads having uneven surface, potholes, bumps, continuous humps etc, vehicle starts juddering, shaking and bouncing especially at low speeds.",multiple issue
The vehicle keeps on jerking towards its left and right all the way.,defective part of vehicle
"I tested with many other cars of the same make and model and i could feel that the car delivered to me was having faulty suspension, low body balance, and instable movements than the normal swift cars.",manufacture defective
"While speeding up on second and third gears, the engine produces abnormal sounds.",defective part of vehicle
Releasing the clutch in a highly traffic area/ open signal in slow speed makes the engine vibrate.,defective part of vehicle
The odometer has covered 48000 kms as on date and the issue still persists.,issue not resolved
"I used the car for few years and now i wanted to sell the car, hence i visited cars 24 and got a good deal and when about to sigh the contract and i get to know that there are 2 pending cases issue against the car registered in july 2014 before the car was sold to me.",issue not resolved
The deisel pump which being replaced with new is getting bad with in a span of 3 month.,defective part of vehicle
I have gone through the new car checking of battery charging which is in perfect condition but i am unable to start the engine.,manufacture defective
But unfortunately i am against facing the same problem and unable to get any positive feedback from your service center.,issue not resolved
These bikes problem in engine seaz with in 15 days from the time of purchase.,manufacture defective
It is quite unfortunate and disappointing that the service I have received till date never served the purpose or met the standards.,service center issue
"Since the service delivered by AVG Motors was not up to the mark, we were forced to move out service to Popular Vehicles and Services Limited, Kottayam.",service center issue
I could not change the gear while overtaking another vehicle.,defective part of vehicle
"The third time in the row, car showed complaint on 18th September and we had no option than to give back to the showroom for repairment.",issue not resolved
Next issue we came across was on the way to airport where had to drop my relative.,issue not resolved
"Going to your service centres became a routine by then, since we lost the trust in the assurance you gave while returning the car each time.",issue not resolved
It is quite unfortunate and disappointing that the service I have received till date never served the purpose or met the standards.,service center issue
I could not change the gear while overtaking another vehicle.,defective part of vehicle
"The third time in the row, car showed complaint on 18th September and we had no option than to give back to the showroom for repairment.",issue not resolved
Next issue we came across was on the way to airport where had to drop my relative.,issue not resolved
It is quite unfortunate and disappointing that the service I have received till date never served the purpose or met the standards.,service center issue
I could not change the gear while overtaking another vehicle.,defective part of vehicle
"The third time in the row, car showed complaint on 18th September and we had no option than to give back to the showroom for repairment.",issue not resolved
Next issue we came across was on the way to airport where had to drop my relative.,issue not resolved
It is quite unfortunate and disappointing that the service I have received till date never served the purpose or met the standards.,service center issue
  painting on the right side for a minor scratch on the right side rear door in service (Job card no: jc19010230 dated 23/07/2019).,service center issue
" changing both the front headlamps (Job card no: jc19011736 dated 09/08/2019)  When i received the vehicle back after the works, i could observe a few issues:
scratches on the front bumper and the front grill.",multiple issue
"	vibrations from the bonnet while releasing clutch.",defective part of vehicle
"	fog formation and scratch marks inside the newly fixed headlamps.",service center issue
"	unfinished surface on the newly painted right side.",service center issue
"I could observe that my new looking, glossy bonnet was replaced with an old bonnet repainted on its top surface with lot of dirt and rust on it.",service center issue
The inside of the bonnet was so dirty that its colour entirely mismatched from rest of the body.,service center issue
The holding leg/lever of the bonnet remained loosen and it hung inside the engine cabin making louder vibrations like a decade year old vehicle.,defective part of vehicle
The cotton like silencer/cushion beneath the hood was an ugly one with all its fasteners loosen.,defective part of vehicle
An area in the right side corner of the bumper was having visible marks of dent correction.,service center issue
